size,p_connection,LV_wc,continuation_wc,greedy_wc,luby_wc,blelloch_wc,rpp_wc
10,0.5,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857
16,0.5,0.5,0.6,0.6,0.3,0.3,0.3
36,0.5,0.3888888888888889,1.0,0.7777777777777778,0.2777777777777778,0.4444444444444444,0.2222222222222222
46,0.5,0.391304347826087,1.0,0.782608695652174,0.21739130434782608,0.43478260869565216,0.21739130434782608
66,0.5,0.3333333333333333,1.0,0.7575757575757576,0.21212121212121213,0.45454545454545453,0.18181818181818182
90,0.5,0.24444444444444444,1.0,0.7777777777777778,0.17777777777777778,1.0,0.15555555555555556
130,0.5,0.24615384615384617,1.0,1.0,0.13846153846153847,1.0,0.12307692307692308
160,0.5,0.175,1.0,1.0,0.1125,1.0,0.1
200,0.5,0.41,1.0,1.0,0.1,1.0,0.09
