size,p_connection,LV_eff,continuation_eff,greedy_eff,luby_eff,blelloch_eff,rpp_eff
10,0.32188758248682003,0.9404,0.997,0.9974,0.699,0.7258,0.6534
16,0.25993019270997947,0.796,0.963,0.9722,0.446,0.544,0.3816
36,0.16057620877200915,0.3636,0.7858,0.8136,0.0726,0.306,0.061
46,0.13632583547518043,0.2188,0.7204,0.7498,0.027,0.2572,0.0182
66,0.10595477458989334,0.068,0.6034,0.6414,0.004,0.1922,0.0014
90,0.08459249977267377,0.0152,0.5384,0.5884,0.0006,0.1382,0.0
130,0.06422134261377903,0.0008,0.518,0.5514,0.0,0.091,0.0
160,0.054775332933423515,0.0002,0.5176,0.5424,0.0,0.0624,0.0
200,0.04605170185988092,0.0,0.5164,0.5398,0.0,0.038,0.0
