size,r_radius,LV_eff,continuation_eff,greedy_eff,luby_eff,blelloch_eff,rpp_eff
10,0.5,0.9538,0.9848,0.9888,0.6144,0.575,0.5932
16,0.5,0.9118,0.9214,0.9738,0.4826,0.454,0.449
36,0.5,0.664,0.466,0.8818,0.2278,0.2168,0.2252
46,0.5,0.5904,0.2828,0.8648,0.1472,0.1364,0.1406
66,0.5,0.4688,0.1218,0.7988,0.0744,0.0646,0.076
90,0.5,0.278,0.041,0.684,0.0362,0.0312,0.0348
130,0.5,0.1428,0.0104,0.7464,0.019,0.0148,0.0152
160,0.5,0.0976,0.0068,0.8236,0.016,0.017,0.0196
200,0.5,0.068,0.0054,0.8748,0.0214,0.0218,0.021
