size,m,LV_wc,continuation_wc,greedy_wc,luby_wc,blelloch_wc,rpp_wc
10,5,0.5,0.5,0.5,0.25,0.25,0.25
16,5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
36,5,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.23529411764705882,0.23529411764705882,0.29411764705882354
46,5,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.3333333333333333,0.23809523809523808,0.3333333333333333
66,5,0.6129032258064516,0.6451612903225806,0.6129032258064516,0.3870967741935484,0.3225806451612903,0.3548387096774194
90,5,0.6585365853658537,0.7073170731707317,0.7073170731707317,0.3902439024390244,0.34146341463414637,0.4146341463414634
130,5,0.6833333333333333,0.7333333333333333,0.7166666666666667,0.5333333333333333,0.38333333333333336,0.48333333333333334
160,5,0.7083333333333334,0.7638888888888888,0.7361111111111112,0.5138888888888888,0.4166666666666667,0.4861111111111111
200,5,0.7444444444444445,0.7777777777777778,0.7666666666666667,0.5555555555555556,0.4,0.5444444444444444
